"codcompra","mododisputa","disputaaberto","aditivos","vigencia_inicio","vigencia_fim","anos","valor_inicial","valor_global","diferenca_valor","percentual_diferenca_valor"
"24025299000012022","Aberto","True","4","2022-12-26","2023-12-25","1.0","554751.93","554751.93","0.0","0.0"
"25444599000022022","Aberto","True","4","2022-11-24","2023-09-24","1.0","6120000.0","6120000.0","0.0","0.0"
"39007099002072022","Aberto","True","9","2022-10-26","2024-01-18","2.0","4864151.78","4864151.78","0.0","0.0"
"39301399005102022","Aberto","True","4","2023-05-09","2024-11-09","1.0","14995000.0","14995000.0","0.0","0.0"
"39301499003422022","Aberto","True","3","2023-01-04","2025-01-04","2.0","41338736.57","51173706.84","9834970.27","23.791172846674158"
"39301699000512022","Aberto","True","4","2022-08-10","2025-11-06","3.0","18528939.8","22231371.71","3702431.91","19.981887522782063"
"39301699000642022","Aberto","True","4","2022-07-25","2025-10-21","3.0","17283372.92","19834146.87","2550773.95","14.758542570404712"
"39301699003702022","Aberto","True","4","2023-02-01","2023-10-28","0.0","559733.36","599082.58","39349.22","7.029993709862139"
"39301999003662022","Aberto","True","3","2022-12-23","2025-06-09","3.0","4945237.83","5292393.44","347155.61","7.0199982677071775"
"39302299003072022","Aberto","True","3","2022-09-27","2025-06-27","3.0","31950000.0","31950000.0","0.0","0.0"
"39303099001092022","Aberto","True","4","2022-09-01","2023-08-26","1.0","6573141.18","6573141.18","0.0","0.0"
"39500199000012022","Fechado","False","2","2022-06-27","2024-06-27","2.0","5583498.88","5583498.88","0.0","0.0"
"39500199000012022","Fechado","False","2","2022-06-27","2024-06-27","2.0","6278977.93","6278977.93","0.0","0.0"
